Date,Day of Wk,SPX Close,Seasonal_rank,NPD 5 SMA,5dt,21dt,200d,Model,NPD,252d FWD%,126d FWD%,63d FWD%,21d FWD%,10d FWD%,5d FWD%,1d FWD%,Day of,VIX,5d FWD VIX,21d FWD VIX
9/21/2016,Wednesday,2163.12,0,-13,8,3,2059.66205,0,-9.65,15.60,8.45,4.98,-1.01,-0.16,0.38,0.65,1.09,13.3,12.86,14.02590909
9/22/2016,Thursday,2177.18,0,-12,7,4,2060.1626,0,-11.46,14.93,7.66,4.04,-1.65,-0.75,-1.20,-0.57,0.65,12.02,13.26,14.07136364
9/23/2016,Friday,2164.69,0,-12,7,3,2060.6681,0,-9.87,15.34,8.17,4.45,-0.62,-0.51,0.17,-0.86,-0.57,12.29,13.46,14.12454545
9/26/2016,Monday,2146.1,0,-12,5,3,2061.1605,0,-12.42,16.34,9.90,5.48,-0.14,0.82,0.70,0.64,-0.86,14.5,13.274,14.11272727
9/27/2016,Tuesday,2159.93,0,-11,6,4,2061.699,0,-12.96,16.07,9.32,5.04,-0.95,-1.07,-0.44,0.53,0.64,13.1,13.38,14.21545455
9/28/2016,Wednesday,2171.37,0,-12,5,4,2062.494,0,-10.99,15.60,9.06,3.62,-1.77,-1.48,-0.54,-0.93,0.53,12.39,13.5,14.38818182
9/29/2016,Thursday,2151.13,1,-12,2,3,2063.13995,0,-11.73,17.12,9.84,4.56,-1.15,-0.86,0.45,0.80,-0.93,14.02,13.264,14.52636364
9/30/2016,Friday,2168.27,1,-12,5,4,2063.76425,0,-11.27,16.64,8.79,3.25,-1.94,-1.63,-0.67,-0.33,0.80,13.29,13.302,14.76590909
10/3/2016,Monday,2161.2,1,-12,6,4,2064.2049,0,-12.52,17.28,9.21,4.47,-2.29,-1.61,0.11,-0.50,-0.33,13.57,13.264,15.02727273
10/4/2016,Tuesday,2150.49,2,-12,3,3,2064.7479,1,-15.63,18.01,9.41,5.59,-2.44,-0.51,-0.64,0.43,-0.50,13.63,13.61,15.41136364
10/5/2016,Wednesday,2159.73,1,-12,3,3,2065.5188,0,-8.81,18.17,9.16,5.06,-3.29,-0.71,-0.95,0.05,0.43,12.99,14.194,15.84409091
10/6/2016,Thursday,2160.77,4,-12,5,3,2066.2169,1,-11.69,17.98,9.01,5.38,-3.50,-0.90,-1.31,-0.33,0.05,12.84,14.964,16.11090909
10/7/2016,Friday,2153.74,8,-12,3,3,2066.79075,1,-11.09,18.15,9.44,5.35,-1.03,-0.58,-0.96,0.46,-0.33,13.48,15.492,16.35
10/10/2016,Monday,2163.66,4,-12,5,6,2067.2876,1,-11.29,17.89,8.79,4.86,-1.11,-0.57,-1.72,-1.24,0.46,13.38,16.058,16.39545455
10/11/2016,Tuesday,2136.73,8,-11,3,3,2067.6663,1,-11.02,19.59,9.74,6.49,1.24,0.30,0.13,0.11,-1.24,15.36,16.042,16.36727273
10/12/2016,Wednesday,2139.18,8,-11,3,4,2068.0797,1,-9.67,19.25,8.87,6.14,1.32,0.01,0.24,-0.31,0.11,15.91,15.742,16.28818182
10/13/2016,Thursday,2132.55,6,-12,2,4,2068.35065,1,-15.66,19.72,10.15,6.66,1.50,0.02,0.41,0.02,-0.31,16.69,15.154,16.18772727
10/14/2016,Friday,2132.98,3,-12,3,3,2068.69875,1,-10.78,19.91,9.81,6.32,1.46,-0.31,0.38,-0.30,0.02,16.12,14.598,16.06272727
10/17/2016,Monday,2126.5,7,-12,2,3,2069.11155,1,-11.96,20.36,9.95,6.84,2.53,-0.02,1.17,0.62,-0.30,16.21,13.96,15.94954545
10/18/2016,Tuesday,2139.6,6,-12,5,4,2069.74625,1,-12.3,19.71,10.11,5.80,1.75,-1.30,0.17,0.22,0.62,15.28,13.596,15.86181818
